trademarkid,21477706
recordownerid,843
ownershipid,921505
trademarkprofilerecordownerid,843
trademark,"R Logo"
tmlogo,R_Design.jpg
addressofrecord,
country,China
applicationno,14521878
applicationdate,2014-05-12T00:00:00
registrationno,14521878
registrationdate,2015-06-21T00:00:00
trademarkstatus,Cancelled
filereference,RBD01.0031(3)
supervisor,"John Colbourn"
supervisor2,"Owain Willis"
supervisor3,"Mark Gahagan"
supervisor4,"Kate Moss"
active,0
trademarkregion,"Far East"
notes,"The client has confirmed they are not able to obtain evidence to defend the cancellation action."
nationalclasses,3
hksection18,0
recordcreated,2014-05-01T10:00:51.207
recordcreatedby,lmusana
recordupdated,2022-02-03T09:59:35.653
recordupdatedby,MarkSylvester
trademarkprofileid,11416382
ownerid,5118953
owner,"RBDM Limited"
owneraddress1,"c/o Kingly Brookes LLP, "
owneraddress2,"415 Linen Hall, 162-168 Regent Street"
ownercity,"London "
ownerpostalcode,"W1B 5TE "
ownercountry,"United Kingdom"
ownerfilereference,"Old Address (Do Not Use)"
clientid,5119267
client,"RBDM Limited"
clientcontactid,10911747
clientcontactfirstname,Chantelle
clientcontactlastname,Gower-Jackson
clientaddress1,"Unit 14 Waterhouse"
clientaddress2,"8 Orsman road"
clientcity,"London "
clientpostalcode,"N1 5QJ"
clientcountry,"United Kingdom"
clientcompanynumber,06332884
clientfilereference,RBD01
agentid,5119272
agent,"HFG Law Firm & Intellectual Property Practice "
agentcontactid,3625545
agentcontactfirstname,Molly
agentcontactlastname,Li
agentreference,"RDD.RI.0012 RDD.RI.0026"
agentaddress1,"14/F, Hua Qi Building,"
agentaddress2," No. 969 Wuding Road, "
agentcity,"Shanghai "
agentpostalcode,200040
agentcountry,China
agenttelephone,"+86 21 5213 5500"
agentfax,"+86 21 5213 0895"
agentwebpage,www.hfgip.com
agentfilereference,63
tpownerid,5118953
tpowner,"RBDM Limited"
clientownersame,0
trademarkid,21477706
intclass,3
language,English
goods,"Soaps; cleaning preparations; polishing preparations; grinding preparations; essential oils; cosmetics; dentifrices; incense; cosmetics for animals; air fragrancing preparations."
trademarkid,21477706
duedate,"12 Nov 2014"
action,"History: Convention Filing Deadline"
attorney,"zzzEmmy Hunt"
notes,"Priority document requested from CTMO"
complete,1
trademarkid,21477706
duedate,"16 Mar 2017"
action,Memo
attorney,"zzzLeah Musana"
notes,"Registration certificate given to client by hand with Index of 6 December 2016 (see FileSite)"
complete,1
trademarkid,21477706
duedate,"01 May 2014"
action,Memo
attorney,"zzzLeah Musana"
notes,"Signed Power of Attorney sent to agent by email."
complete,1
